clave,estado,pct_2010,pct_2015,pct_2020,pers_2010,pers_2015,pers_2020
01,Aguascalientes,38.13,30.97,27.53,456838,400355,378118
02,Baja California,31.52,29.2,23.12,1019795,1021966,865158
03,Baja California Sur,30.99,27.93,27.35,202965,215109,242190
04,Campeche,50.5,42.09,48.54,425297,383770,475080
05,Coahuila de Zaragoza,27.81,24.43,23.58,775932,725641,740182
06,Colima,34.69,33.25,27.81,230263,241942,218604
07,Chiapas,78.48,72.55,74.43,3866319,3824917,4158377
08,Chihuahua,38.81,29.31,25.5,1371575,1090437,992475
09,Ciudad de México,28.54,27.78,34.19,2537155,2457084,2981772
10,Durango,51.57,39.28,37.59,864156,694998,696310
11,Guanajuato,48.51,42.04,44.45,2703742,2451348,2687205
12,Guerrero,67.57,67.1,65.62,2329962,2398183,2402661
13,Hidalgo,54.67,49.39,45.66,1477050,1426640,1394749
14,Jalisco,37.05,34.78,32.59,2766652,2766545,2733157
15,México,42.89,47.55,50.76,6712049,8054703,9206181
16,Michoacán de Ocampo,54.73,57.2,45.56,2424839,2634793,2163608
17,Morelos,43.24,48.44,52.63,782167,933526,1071977
18,Nayarit,41.36,38.24,30.54,461241,470404,409310
19,Nuevo León,21.02,18.88,19.7,994427,964358,1075561
20,Oaxaca,66.99,68.11,63.83,2596250,2737784,2638699
21,Puebla,61.48,60.98,63.37,3616262,3787148,4117279
22,Querétaro,41.41,31.27,32.85,766999,629630,708272
23,Quintana Roo,34.63,33.43,44.84,471722,530653,812136
24,San Luis Potosí,52.4,45.64,44.64,1375299,1260111,1283308
25,Sinaloa,36.67,32.24,28.25,1048643,964693,879249
26,Sonora,33.15,28.76,31.19,905154,846972,978303
27,Tabasco,57.1,45.38,52.96,1291595,1085114,1326734
28,Tamaulipas,38.95,38.91,35.77,1301697,1383284,1339840
29,Tlaxcala,60.31,52.25,58.28,718971,670518,797311
30,Veracruz de Ignacio de la Llave,57.58,57.27,60.85,4447965,4618877,5076908
31,Yucatán,48.32,41.86,47.84,958546,889954,1080970
32,Zacatecas,60.25,51.53,43.76,911495,814252,716297
