serie,cvegeo,estado,pct_umbral
2020,1,Aguascalientes,1.46
2020,2,Baja California,0.97
2020,3,Baja California Sur,1.69
2020,4,Campeche,4.18
2020,5,Coahuila de Zaragoza,1.13
2020,6,Colima,1.09
2020,7,Chiapas,12.3
2020,8,Chihuahua,1.54
2020,9,Ciudad de México,1.69
2020,10,Durango,2.23
2020,11,Guanajuato,1.55
2020,12,Guerrero,8.38
2020,13,Hidalgo,2.01
2020,14,Jalisco,0.28
2020,15,México,2.37
2020,16,Michoacán de Ocampo,1.73
2020,17,Morelos,2.69
2020,18,Nayarit,2.4
2020,19,Nuevo León,0.88
2020,20,Oaxaca,6.88
2020,21,Puebla,4.51
2020,22,Querétaro,1.05
2020,23,Quintana Roo,4.77
2020,24,San Luis Potosí,3.83
2020,25,Sinaloa,0.66
2020,26,Sonora,1.36
2020,27,Tabasco,4.19
2020,28,Tamaulipas,1.64
2020,29,Tlaxcala,3.32
2020,30,Veracruz de Ignacio de la Llave,3.37
2020,31,Yucatán,2.48
2020,32,Zacatecas,1.87
2018,1,Aguascalientes,0.49
2018,2,Baja California,0.61
2018,3,Baja California Sur,0.34
2018,4,Campeche,2.9
2018,5,Coahuila de Zaragoza,0.95
2018,6,Colima,0.84
2018,7,Chiapas,13.44
2018,8,Chihuahua,1.28
2018,9,Ciudad de México,0.37
2018,10,Durango,1.4
2018,11,Guanajuato,1.11
2018,12,Guerrero,12.16
2018,13,Hidalgo,1.97
2018,14,Jalisco,0.44
2018,15,México,0.6
2018,16,Michoacán de Ocampo,1.32
2018,17,Morelos,1.9
2018,18,Nayarit,2.67
2018,19,Nuevo León,0.59
2018,20,Oaxaca,8.8
2018,21,Puebla,2.19
2018,22,Querétaro,0.46
2018,23,Quintana Roo,0.82
2018,24,San Luis Potosí,2.45
2018,25,Sinaloa,0.64
2018,26,Sonora,0.77
2018,27,Tabasco,2.44
2018,28,Tamaulipas,1.64
2018,29,Tlaxcala,0.79
2018,30,Veracruz de Ignacio de la Llave,4.61
2018,31,Yucatán,1.36
2018,32,Zacatecas,2.12
2016,1,Aguascalientes,0.78
2016,2,Baja California,0.63
2016,3,Baja California Sur,0.67
2016,4,Campeche,1.88
2016,5,Coahuila de Zaragoza,0.92
2016,6,Colima,0.67
2016,7,Chiapas,16.02
2016,8,Chihuahua,1.87
2016,9,Ciudad de México,0.6
2016,10,Durango,1.82
2016,11,Guanajuato,1.83
2016,12,Guerrero,8.84
2016,13,Hidalgo,3.49
2016,14,Jalisco,0.64
2016,15,México,1.07
2016,16,Michoacán de Ocampo,3.3
2016,17,Morelos,0.45
2016,18,Nayarit,3.99
2016,19,Nuevo León,0.4
2016,20,Oaxaca,9.92
2016,21,Puebla,1.85
2016,22,Querétaro,0.95
2016,23,Quintana Roo,1.11
2016,24,San Luis Potosí,2.42
2016,25,Sinaloa,1.06
2016,26,Sonora,0.35
2016,27,Tabasco,2.55
2016,28,Tamaulipas,1.05
2016,29,Tlaxcala,1.49
2016,30,Veracruz de Ignacio de la Llave,4.17
2016,31,Yucatán,1.23
2016,32,Zacatecas,4.33
