"Serie","cvegeo","Entidad_federativa","Periodo","Índice_de_finalización|Indice_de_finalización_primaria_Población_que_finalizó_el_nivel_de_instrucción|Total","Índice_de_finalización|Indice_de_finalización_primaria_Población_que_finalizó_el_nivel_de_instrucción|Hombres","Índice_de_finalización|Indice_de_finalización_primaria_Población_que_finalizó_el_nivel_de_instrucción|Mujeres","Índice_de_finalización|Indice_de_finalización_primaria_Población_que_finalizó_el_nivel_de_instrucción|Hablantes_de_lengua_indígena","Índice_de_finalización|Indice_de_finalización_primaria_Población_que_finalizó_el_nivel_de_instrucción|Población_con_alguna_discapacidad","Índice_de_finalización|Indice_de_finalización_primaria_Población_que_finalizó_el_nivel_de_instrucción|Cambio_de_residencia","Índice_de_finalización|Indice_de_finalización_secundaria_Población_que_finalizó_el_nivel_de_instrucción|Total","Índice_de_finalización|Indice_de_finalización_secundaria_Población_que_finalizó_el_nivel_de_instrucción|Hombres","Índice_de_finalización|Indice_de_finalización_secundaria_Población_que_finalizó_el_nivel_de_instrucción|Mujeres","Índice_de_finalización|Indice_de_finalización_secundaria_Población_que_finalizó_el_nivel_de_instrucción|Hablantes_de_lengua_indígena","Índice_de_finalización|Indice_de_finalización_secundaria_Población_que_finalizó_el_nivel_de_instrucción|Población_con_alguna_discapacidad","Índice_de_finalización|Indice_de_finalización_secundaria_Población_que_finalizó_el_nivel_de_instrucción|Cambio_de_residencia","Índice_de_finalización|Indice_de_finalización_preparatoria_(Media_superior)_Población_que_finalizó_el_nivel_de_instrucción|Total","Índice_de_finalización|Indice_de_finalización_preparatoria_(Media_superior)_Población_que_finalizó_el_nivel_de_instrucción|Hombres","Índice_de_finalización|Indice_de_finalización_preparatoria_(Media_superior)_Población_que_finalizó_el_nivel_de_instrucción|Mujeres","Índice_de_finalización|Indice_de_finalización_preparatoria_(Media_superior)_Población_que_finalizó_el_nivel_de_instrucción|Hablantes_de_lengua_indígena","Índice_de_finalización|Indice_de_finalización_preparatoria_(Media_superior)_Población_que_finalizó_el_nivel_de_instrucción|Población_con_alguna_discapacidad","Índice_de_finalización|Indice_de_finalización_preparatoria_(Media_superior)_Población_que_finalizó_el_nivel_de_instrucción|Cambio_de_residencia",
"Población_de_20_a_22_años",	00,"Estados_Unidos_Mexicanos","2024","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6,192,234","3,037,961","3,154,273","307,371","214,145","314,223",
"Población_de_20_a_22_años",	01,"Aguascalientes","2024","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","79,724","40,217","39,507","NS","NS","NS",
"Población_de_20_a_22_años",	02,"Baja_California","2024","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","194,635","92,161","102,474","NS","NS","18,969",
"Población_de_20_a_22_años",	03,"Baja_California_Sur","2024","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","45,078","22,920","22,158","NS","NS","5,162",
"Población_de_20_a_22_años",	04,"Campeche","2024","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","43,220","21,863","21,357","NS","NS","NS",
"Población_de_20_a_22_años",	05,"Coahuila_de_Zaragoza","2024","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","169,854","77,854","92,000","NS","NS","NS",
"Población_de_20_a_22_años",	06,"Colima","2024","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","35,880","16,832","19,048","NS","NS","3,250",
"Población_de_20_a_22_años",	07,"Chiapas","2024","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","247,832","115,283","132,549","74,313","NS","NS",
"Población_de_20_a_22_años",	08,"Chihuahua","2024","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","195,744","97,523","98,221","NS","NS","NS",
"Población_de_20_a_22_años",	09,"Ciudad_de_México","2024","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","433,906","217,153","216,753","NS","NS","32,551",
"Población_de_20_a_22_años",	10,"Durango","2024","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","97,682","49,844","47,838","NS","NS","NS",
"Población_de_20_a_22_años",	11,"Guanajuato","2024","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","305,298","157,347","147,951","ND","NS","NS",
