"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total_Grupo_de_edad|Total","Sexo|Total_Grupo_de_edad|De_15_a_24_años","Sexo|Total_Grupo_de_edad|De_25_a_64_años","Sexo|Total_Grupo_de_edad|De_65_años_y_más","Sexo|Hombres_Grupo_de_edad|Total","Sexo|Hombres_Grupo_de_edad|De_15_a_24_años","Sexo|Hombres_Grupo_de_edad|De_25_a_64_años","Sexo|Hombres_Grupo_de_edad|De_65_años_y_más","Sexo|Mujeres_Grupo_de_edad|Total","Sexo|Mujeres_Grupo_de_edad|De_15_a_24_años","Sexo|Mujeres_Grupo_de_edad|De_25_a_64_años","Sexo|Mujeres_Grupo_de_edad|De_65_años_y_más",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	00,"Estados_Unidos_Mexicanos","2020","4.46709719561079","8.13565367305109","3.92012126531029","1.62469205347927","4.6876959528299","7.78906199329375","4.23119771498161","1.90798205739654","4.11844712465781","8.76185801012672","3.45002030316181","1.01552855547768",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	01,"Aguascalientes","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	02,"Baja_California","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	03,"Baja_California_Sur","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	04,"Campeche","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	05,"Coahuila_de_Zaragoza","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	06,"Colima","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	07,"Chiapas","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	08,"Chihuahua","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	09,"Ciudad_de_México","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	10,"Durango","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	11,"Guanajuato","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	12,"Guerrero","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	13,"Hidalgo","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	14,"Jalisco","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	15,"México","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Tasa_de_desocupación,_desglosada_por_sexo_y_edad_(1995-2020)",	16,"Michoacán_de_Ocampo","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
