Periodo,Total,Hombres,Mujeres
2024
Enero,3.506367828382,3.372658164612,3.681389279157
Febrero,3.128415556513,2.982749579075,3.315876667371
Marzo,2.965815620435,2.904418533979,3.047117705826
Abril,3.053795830186,2.911555083833,3.239662146203
Mayo,3.291296784339,3.587812021241,2.918552171464
Junio,3.503344883287,3.503687049282,3.502895568341
Julio,3.642913635424,3.966477329278,3.219809008704
Agosto,3.571763558257,3.387307967121,3.813792609768
Septiembre,3.376734867495,3.357566890690,3.401454830760
Octubre,2.811540076017,2.797029358393,2.830165246081
Noviembre,2.946113572234,2.753853680632,3.192692926294
Diciembre,2.779750619392,3.010945989592,2.487424324616
2025
Enero,3.279360456901,3.198373746606,3.386280559680
Febrero,2.994348346780,3.135449581883,2.811780764889
Marzo,2.501196929655,2.269604480875,2.796979895476
Abril,3.089444136659,3.035348163413,3.159762177972
Mayo,3.162469301659,3.095427971082,3.248650029367
Junio,3.202011030058,3.144097323175,3.275355157505
Julio,3.166562453555,3.180470121627,3.148320451763
Agosto,3.557969151019,3.832838078057,3.200686582715
Septiembre,3.699862574862,3.533760921541,3.916242111678
Octubre,2.957926606572,3.158711062761,2.699189656661
Noviembre,3.102406057630,3.078880952632,3.132931485590
Diciembre,2.653286693847,2.590030551779,2.735461621489
2026
Enero,3.243307499312,3.228809959384,3.262440756252
Febrero,3.004832284046,3.001417676426,3.009343534218
"Nota:    La  información proporcionada a partir de enero de 2023 y de enero de 2005 a marzo de 2020 proviene de la Encuesta Nacional  de  Ocupación y Empleo (ENOE), de abril a junio de 2020  corresponde  a  la  Encuesta Telefónica de Ocupación y Empleo  (ETOE) y de julio de 2020 a diciembre de 2022 la información se generó con la  Encuesta  Nacional  de  Ocupación  y Empleo (Nueva edición) (ENOE(N)).      A partir de enero de 2005, la información se construye con base en  las  estimaciones  poblacionales  generadas por el Marco Muestreo  del  INEGI.    Fuente:    INEGI. Encuesta Nacional de Ocupación y Empleo (ENOE) / Encuesta Telefónica de Ocupación y Empleo (ETOE) / Encuesta Nacional de Ocupación y Empleo (Nueva edición) (ENOE-N)    Fecha de actualización: Viernes, 27 de Marzo de 2026"
