Periodo,Total,Hombres,Mujeres
2022
I,28.307974787694,27.912137249281,28.917437371692
II,28.676537547615,28.216807647603,29.369966968659
III,28.182353265707,27.657860399152,28.978737747607
IV,28.110309980644,27.270654960263,29.341920475993
2023
I,28.219699177971,27.698642863953,28.989765636690
II,28.255372040493,27.643810587937,29.147241981390
III,28.238438174273,27.552576572845,29.242153324833
IV,28.263943471635,27.674141862686,29.119455577795
2024
I,27.840186140588,27.472784498070,28.375973919294
II,28.133844125796,27.827968075716,28.575390825726
III,28.105592354984,27.574213130845,28.877399881613
IV,28.612224145202,28.134362798959,29.291675691168
2025
I,28.798054962077,28.311092692203,29.506989297842
II,29.004297724323,28.603463483770,29.582709622446
III,29.502958916424,29.121219793076,30.057353311599
IV,29.479200882537,28.945247553367,30.248622698240
"Nota:    Tasa calculada contra la población ocupada.    Fuente:    INEGI. Encuesta Nacional de Ocupación y Empleo.    Fecha de actualización: Martes, 24 de Febrero de 2026"
